P2_1_B,lemma
"463	""concentración económica (personas, comunas, etc) en desmedro del resto.",concentración económico persona comuna desmedro resto
"sistema económico hace que se beneficien unos más que otros. es la forma en que concentramos la riqueza""",sistema económico
464	los sueldos no alcansa o llegar al mes y luego viene la deuda para poder completar el mes,sueldo mes deuda mes
"465	""la salud está sujeta a las leyes de mercado.",salud sujeto ley mercado
las familias no tienen los recursos para salud de calidad,familia recurso salud calidad
"el acceso a especialidades y salud terciaria es lento y casi nulo.""",acceso especialidad salud terciario lento nulo
"466	la educación es la base de toda sociedad y  queremos que sea de calidad, la misma en todo el país y que sea al alcance de todos (no endeudados)",educación base sociedad calidad país alcance
"467	""faltan más universidades para regularizar títulos.",universidad título
falta educación intercultural en los colegios.,educación intercultural colegio
más cursos de idiomas y,curso idioma
"validación de oficios.""",validación oficio
"468	""larga fila esperando una hora médiac.",largo fila hora médio
"en general en salud publica se debe esperar mucha hora""",general salud hora
"469	""por la falta de especialistas por regiones.",falta especialista región
"la medicina, sus precios son muy elevados.",medicina precio elevado
"los enfermos terminales.""",enfermo terminal
"470	porque el agua es de todos los chilenos,no solo de personas ricas,y no se ven que estamos con sequia",agua chileno persona rico sequia
"471	sino se tiene la posibilidad de entrar a un colegio u hospital sin dinero, no se puede optar a algo mejor.",posibilidad colegio hospital dinero mejor
"473	""no tienen salud en la comunidad",salud
los traslados son muy extensos y demorosos,traslado extenso demoroso
falta de fármacos,falta fármaco
sin cobertura de ambulancia,cobertura ambulancia
"atención de calidad""",atención calidad
"474	""que la salud publica sea igual a la privada.",salud igual privado
"desigualdad publica u/s  privada , la privada tiene ------- calidad, recursos, la publica horas de espera, mala atención.""",desigualdad privado privado calidad recurso hora espera malo atención
"475	""sistema de salud de prevención que de tratar el problema cuando ya sucedio",sistema salud prevención problema
"reformas de fondo""",reforma fondo
"476	""- salud pública, gratuita y mejor para todos, específicamente para adultos mayores",salud público gratuito específicamente adulto mayor
- transporte gratuito para ellos,transporte gratuito
"- mucha incertidumbre por la vejez """,incertidumbre vejez
"477	- porque es necesario que haya justicia  e igualdad en los sueldos y en lo social, para que la balanza se equilibre",necesario justicia igualdad sueldo social balanza equilibre
"478	- ya que la única forma de poder abatir la pobreza, es mediante las adquisición de nuevos conocimientos",único forma pobreza adquisición nuevo conocimiento
"479	""-exista igualdad en calidad de educación, no importa que sea municipal, subvencionado, particular,",igualdad calidad educación municipal subvencionado particular
-gratuidad y calidad,gratuidad calidad
"-eliminacion de tombola y pruebas de seleccion""",eliminación tombola prueba selección
"480	""- el sistema del ingreso de pensiones va mas dirigido a los duelos de las afp.",sistema ingreso pensión dirigido duelo afp
- seguir en cuanto a las perdidas,cuanto perdida
- desprotección de las pensiones,desprotección pensión
- sistema no valido y buscan mecanismo de cambio,sistema mecanismo cambio
481	falta de etica de los medicos. mejor atención personalizada y acortar el tiempo de espera en urgencia .,falta etica medico
482	se entiende que se quieren generar cambios reales se debe comenzar por la carta magna que nos rige como pais y con ella poder definir la sociedad que queremos,cambio real magno país sociedad
"483	""mala atención de los profesionales con poca dispocisión y compromiso",malo atención profesional dispocisión compromiso
"falta de recursos de una ambulancia""",falta recurso
484	que se elimine el hecho que las pérdidas de las afp sean traspasadas a los afiliados.cambiar el sistema actual de pensiones para encontrar la fórmula que nos permita jubilar con montos dignos para vivir.revisar el cálculo de las pensiones(años)cambiar la forma en que hoy se heredan los fondos a favo,hecho pérdida afiliado sistema actual pensión fórmula monto digno cálculo pensión año forma fondo favo
"485	""cambiar el sistema actual de pensiones para encontrar la formula que nos permita jubilar con montos dignos para vivir. revisar el cálclo de las pensiones (años). cambiar la forma",sistema actual pensión formula monto digno
"en que hoy se heredan los fondos a favor de los familiares""",fondo favor familiar
"486	""mejorar la capacidad economica y psicologica de las familias",capacidad economico psicologico familia
"no trabajan y el sueldo es demasiado alto para el país.""",sueldo alto país
"487	""- muy bajas las pensiones de vejes por AFP.",pensión veje afp
"- Debería amentar el % de ganancia para el usuario.""",ganancia usuario
"488	""-Que tengamos fuentes de trabajo en la región.",fuente trabajo región
-Mejores  leyes diversión para nuestra ciudad.,mejor ley diversión ciudad
"-Igualdad en salarios""",igualdad salario
"489	""porque tengo necesidades  en mi vivienda en caleta camarones.",necesidad vivienda caleta camarón
"pension porque estoy casi por jubilar y que sucedera con mis hijos para que estudien  gratis.""",pensión hijo
490	Mejorar pensiones de nuestros adultos mayores ya que lo que se les da no les da cuarto para el mes,pensión adulto mayor cuarto mes
491	modificar las afp o eliminarlas volver al sistema antiguo inp y el patrón debe imponer al trabajador,afp sistema antiguo inp patrón deber trabajador
"492	se necesitan profesionales con mas vocación, con buen trato, con más empatía, más especialistas en los consultorios",profesional vocación buen trato empatía especialista consultorio
493	saber malla curriculares no saquen historia y geográfia. respeto y apoyo a los profesores sin política,malla historia geográfio
494	porque hay familiares que necesitan operarse y llevan un largo tiempo en espera por no tener recursos para ir a la salud privada,familiar largo tiempo espera recurso salud privado
"495	""- se necesita dinero, estudiar",dinero
-se necesita saber la historia de chile la original.,yse historia original
-hay que dejar los sueños y estudiar lo más rentable,sueño rentable
"-optar por becas y creditos""",beca credito
"496	""evasión masiva de metro",evasión masivo metro
retiro de transantiago por disturbios y buses de regiones,retiro transantiago disturbio bus región
"vehicular particulares por el miedo de circular en las calles""",particular miedo calle
497	la idea es garantizar y sentir que el adulto mayor en chile tenga la capacidad para afrontar su vejez.,idea adulto mayor capacidad vejez
"498	la salud es lo más importante para la sociedad. el costo de la salud es muy elevado, entonces si no hay recursos, sólo queda morir",salud importante sociedad
"499	""más y mejor servicio",mejor servicio
cobertura; cálida: infraestructura; no más listas de espera; más especialistas,cobertura cálido infraestructura lista espera especialista
"alto costo medicamentos""",alto costo medicamento
"500	""-escasez personal en la salud pública",escasez personal salud público
"-mal gestionada, abuso de poder de funcionarios",gestionado abuso poder funcionario
"-cara en área privada.-""",cara área privado
"501	""-aumento de las pensiones al adulto mayor.",aumento pensión adulto mayor
"-una pensión de acuerdo a lo que gastan de acuerdo a su salud.""",pensión acuerdo acuerdo salud
"502	""la salud que lleguen más profesionales",salud profesional
que la atención sea mas rapida,atención rapido
mayor acceso a la salud,mayor acceso salud
remedios muy caros,remedio caro
"faltan remedios en el consultorio""",remedio consultorio
"503	""-mucho tiempo de espera",tiempo espera
-no existe salud de calidad,salud calidad
"-nivelar la brecha entre la salud publica y privada """,brecha privado
"504	necesario una reforma al sistema previsional, mejorar pensiones a los que han impuesto toda la vida",necesario reforma sistema previsional pensión
"505	""falencias del sistema de afp cuales deben corregirse",falencia sistema
administración de pensiones,administración pensión
quizás volver al sistema antiguo,sistema antiguo
"cambio constitucional en cuanto a afp""",cambio constitucional cuanto
"506	""-mejorar las pensiones de todos.",pensión
"-posibilidad de ocupar los recursos de la afp en -caso de enfermedades graves""",posibilidad recurso afp caso enfermedad grave
"507	actualmente son muy bajas, muchas veces bajo el sueldo mínimo, y mantienen a muchas personas viviendo bajo la línea de la pobreza, deben subir, que alcancen para vivir con el mismo nivel que cuando se trabajaba.",baja vez sueldo mínimo persona línea pobreza nivel
508	atención pública de calidad y sin altas esperas a la gente. medicamentos accesibles para toda la comunidad.,atención público calidad alto gente
"509	más eficiencia en salud pública, más estop de remedios ya que son caros. menos burocracia con las horas de exámenes y operaciones, más especialistas.",eficiencia salud público estop remedio caro
"510	""-del gobierno por nosotros como personas y pueblos originarios y reconomiento.",persona pueblo originario reconomiento
-en razon de los cambios climaticos buena distribución de aguas.,razon cambio climatico buen distribución agua
"-respeto por los productos originarios de la región.""",producto originario región
"511	""eliminar la afp, porque es un sistema injusto.",sistema injusto
"tener un sistema más flexible que cuando yo lo necesite lo pueda utilizar ej: enfermedades catastróficas.  """,sistema flexible enfermedad catastrófico
"512	en general, en justicia para hacer valer las leyes como corresponde, penas mas duras; en la política que sean personas mas preparadas políticamente",general justicia ley pena duro política persona preparado
"513	""la mala atención",malo atención
se le otorga poca importancia a la tercera edad.,importancia tercero edad
largas horas de espera,largo hora espera
mal funcionamiento de urgencia.,mal funcionamiento urgencia
"abuso de poder en la salud.""",poder salud
"514	""mayores especialistas para adultos mayores en los hospitales",mayor especialista adulto mayor hospital
"- horario de atención flexible sin tomar hora por orden de llegada""",horario atención flexible hora orden llegada
"515	se debe mejorar su calidad,especialmente la parvularia y básica,para que lleguen bien preparados a la superior,actualmente es deficiente",calidad parvularia básico preparado superior deficiente
"516	""vocacion de servicio",vocacion servicio
"cambiar la salud integral, cambiar todo el sistema, fiscalizar los hospitales.",salud integral sistema hospital
mas especialistas porque el sistema no los exige.,especialista sistema
"mas recursos para tener mas especialistas""",recurso especialista
"517	""las suplencias pueden perpetuarse por años, y esi es muy precario.",suplencia año esí precario
"por otra parte la contrata desgasta y deprime, esperando cada fin de año que renueven.",parte fin año
"es injusto llevar años y años en contrata, porque si es tanto tiempo es porque se requieren funcionarios, pero como no se soluciona la planta, """,injusto año año tiempo funcionario planta
"518	""ingresos que no deben ser moralmente justos, deben ser lo que corresponde, sin justificación",ingreso justo justificación
"disminuir las brechas, terminar con el nepotismo, y que el discurso de equidad e igualdad de genero sea una realidad, no hito comunicacional""",brecha nepotismo discurso equidad igualdad genero realidad comunicacional
"519	que las pérdidas de las afp no se traspase a los cotizantes. bajas pensiones no permiten tener una buena calidad de vida, no alcanza para vivir y cubrir necesidades básicas, obligando a seguir trabajando. devolución de fondos.",pérdida cotizante
"520	""-cambiar mecanismos de educación",mecanismo educación
"-no tantas horas de estar encerrado sino ser mas practico """"aprender haciendo""""",tanto hora encerrado practico
-complementar con el trabajo de casa el idioma mapudungun,trabajo casa idioma
521	una salud igualitaria para todos. no tener que esperar años por una respuesta de especialistas etc. + medicamentos,salud igualitario
"522	""mejor el acceso",acceso
falta de horas,falta hora
falta de camas,falta cama
la administración debe ser tecnicos y no politicos,administración tecnico politico
"mas recursos en los hospitales""",recurso hospital
"523	vivienda porque lo que más les preocupa es tener una viviemda propia, para ,morirr en lo suyo sin dar problemas a los hijos.",vivienda propio morirr problema hijo
"524	por pertenecer a isapre no puedo postular a beneficios. salud es un privilegio, no debiera ser.",beneficio
"- calidad del servicio (espera de 3hrs para tomar hora o retiro de fármacos)""",calidad servicio hr hora retiro fármaco
"526	""la salud es muy cara, hay que pagar mucho, hay muchos descuentos.",salud cara descuento
"mala atención y servicio malo, atención del público inhumana. cobran el doble""",malo atención servicio malo atención público inhumano
"527	""elaborar código penal con penas efectivas de cárcel para delitos de corrupción o seguridad social. ej: colusión",código pena efectivo cárcel delito corrupción seguridad social
"transpatencia en las acciones del congreso""",transpatencia acción congreso
"528	puesto que actualmente son muy bajas, por lo que la calidad de vida de nuestros adultos mayores no es muy buena",puesto baja calidad vida adulto mayor buen
"529	- estado no sólo debe asegurar y fomentar la educación, debe establecerla como un derecho, gratuito, asegurando en todo nivel, desde preescolar a superior.",estado educación derecho gratuito nivel superior
"530	viven restringidos, después de trabajar muchos años, son demasiado bajas las pensiones y no alcanza para vivir dignamente.",restringido año baja pensión
estabilización de los precios,estabilización precio
parlamento protector de los ciudadanos,protector ciudadano
regular las causas de dialogo y convergencia social,causa dialogo convergencia social
"532	""- igualdad para todos.",igualdad
"533	""- acceso a salud de calidad",acceso salud calidad
"- se valora la infraestructura pero se requieren más profesionales e insumos.""",infraestructura profesional insumo
"534	""mejor salud para todos que se erradique la espera en la atención médica pública y que esta sea digna.",mejor salud espera atención médico público digno
bajen precios de medicamentos.,precio medicamento
terminar con la salud de ricos y pobres.,salud pobre
mejorar atencion de hospitales públicos.,atención hospital público
bajas precios planes salud isapre y mejorar cobertura.,baja salud cobertura
"mejores remuneraciones fu""",mejor remuneración fu
"535	""-salud definida como un derecho de los ciudadanos y que debiera ser gratuita.",salud definido derecho ciudadano gratuito
"-se requieren mejoras en el sistema público (infraestructura, insumos, etc.)""",yse mejora sistema público infraestructura insumo
"536	necesidad de contar con una nueva carta magna, que fije los lineamientos generales de un nuevo pais.",necesidad nuevo magno lineamiento general nuevo país
537	mejorar la calidad de la educación tanto para alumnos como para profesionales de la educación (vocación) exceso de profesionales por mal pago de las carreras técnicas.,calidad educación alumno profesional educación vocación exceso profesional mal pago carrera técnico
"538	encuentro que juntamos mucho dinero en nuestras afp, y luego cuando uno jubila no llega ni a un sueldo mínimo, y no alcanza para llegar a fin de mes.",dinero sueldo mínimo fin mes
"539	""preocupación por los niños, adolescentes, condiciones de trato (revisión de mochilas-paraderos sin sombreaderos)",preocupación niño adolescente condición trato revisión mochilasparaderos sombreadero
respeto a los jovenes en su formación y rol en la sociedad,joven formación sociedad
no valoración de los profesores en su calidad de profesionales formadores de mejores chilenos,valoración profesor calidad profesional formador mejor chileno
"mal funcionamiento de los servi""",mal funcionamiento servi
540	-porque la educación hace que las personas se engrandezcan y puedan proyectarse a un nuevo futuro.,educación persona nuevo futuro
541	-no hay suficientes centros de salud y los que hay no estan completamente abastecido con medicamentos.,suficiente centro salud abastecido medicamento
542	sin orden público no se puede avanzar en las reformas sociales y se produce un estancamiento economico.,orden público reforma social estancamiento economico
543	es necesaria para cambiar leyes y asi lograr igualdad y dejar de vender nuestros recursos naturales.,necesario ley igualdad recurso natural
"544	""por las largas espera en los hospitales por examenes.",largo hospital examen
"casas pequeñas para familas grandes desigualdad social""",casa pequeño famila grande desigualdad social
545	que no haya discriminación que los chilenos seamos más unidos porque lo necesitamos en estos momentos,discriminación chileno unido momento
"546	salud publica es mala y el acceso es muy lento, lo que la convierte en un servicio que no es digno con los pacientes, especialmente con nuestros adultos mayores.",salud malo acceso lento servicio digno paciente adulto mayor
"547	""pensión mensual digna de acuerdo a los años trabajados",pensión mensual digno acuerdo año trabajado
"rebajar la cantidad de años donde la persona debe jubilar """,cantidad año persona deber
"548	""-para que la gente no muera esperando.",gente
"-que los remedios esten al alcanse de la gente""",remedio alcanse gente
"549	""que existan mejores profesionales",profesional
- que se termine la lista de espera,lista espera
"- los remedios bajen""",remedio
"550	""faltan hogares para la familia",hogar familia
pocos establecimiento con una educación digna,establecimiento educación digno
"muy mala atención de los colaboradores de la salud""",malo atención colaborador salud
551	personas q' pagan isapre y no usan esos fondos se pierden y se podria usar en alguien mas,persona fondo
"552	porque es una estafa para los trabajadores, hay que ahorrar mensualmente pensando en pensión digna, después llegado el momento de jubilar nos encontramos con la terrible realidad de pensión de mierda.",estafa trabajador pensión digno momento terrible realidad pensión mierda
"553	""ordenar la ciudad",ciudad
dar atribuciones de carabineros y aumentar dotaciones por comuna,atribución carabinero dotación comuna
mano dura con delincuentes,mano duro delincuente
"construir más carceles para que se acabe la puerta giratoria, cambiar algunas leyes""",carcel puerta giratorio ley
"554	""-pensiones muy bajas; es injusto que trabajen durante toda su vida. no recibes una jubilación digna.",pensión baja injusto vida
"555	""-Oportunidad para acceder.",oportunidad
"-Modificaciones en el acceso, en instrumentos de evaluación como la psu (arte, deporte).",modificaciones acceso instrumento evaluación psu arte deporte
-Financiamiento de la educación.,financiamiento educación
- Estatizar la Educación.,educación
"556	""- casas no regularizadas (5)",casa regularizado
"- no tienen para pagar por los estudios de profesionales arquitectura.""",estudio profesional arquitectura
"557	""mejorar la justicia. si es más firme mejor.",justicia
el problema está en los derechos,problema derecho
"muchas faltas de respeto""",falta respeto
"558	la mayoría de la población recibe el ingreso mínimo como remuneración, por lo que se hace necesario el aumento de este.",mayoría población ingreso mínimo remuneración necesario aumento
559	es necesario una ley de aborto para que sea un derecho democrático. porque solo la gente con dinero puede acceder a él de manera segura.,necesario ley aborto derecho democrático
560	por que el marco de las leyes de nuestro pais y la actual nos ata de manos a la hora de hacer cambios.,marco ley país actual mano hora cambio
"561	""- mejorar el cálculo y la extensión de ella.",cálculo extensión
- que la pensión sea igual a los últimos sueldos.,pensión igual último sueldo
"- mejores pensiones para todos, no solo para la clase vulnerable""",mejor pensión clase vulnerable
"562	""-los centros médicos poseen atención precaria y poca disposición.",centro médico atención precario disposición
-los beneficios no son para todos,beneficio
563	falta de especialistas en comunas pequeñas. mal funcionamiento de los servicios de salud en la comuna. medicos no expresan de buena manera las indicaciones.,falta especialista comuna pequeño
"564	-los ingreos no alcanzan para llegar a fin de mes, nisiquiera podemos salir o hacer un gasto adicional.",fin mes gasto adicional
"565	""frente a todos los seres que habitamos en este territorio, que todoa tengan mismos derechos y oportunidades.",frente ser territorio derecho oportunidad
"dejar el adulto centrismo""",adulto centrismo
"566	""descontrol / desconexión con el pueblo",desconexión pueblo
mal manejo de recursos,mal manejo recurso
no cumplir con su función,función
"por robar, por corrupción""",corrupción
"567	creemos que en modelo neoliberal los derechos de las personas, animales y el entorno están por debajo de los privados y sus ganancias",modelo neoliberal derecho persona animal entorno privado ganancia
"568	el desarrollo económico no ha permeado a todas las clases sociales. el pib está sumamente mal distribuido. la riqueza se concentra en un pequeño sector, que además, lo perpetúa.",desarrollo económico clase social
"569	no hay control de seguridad a nivel nacional, porque las fuerzas armadas estan atadas de manos",control seguridad nivel nacional fuerza armado mano
"570	""necesitan más transparencia en lo que se dice.",transparencia
"su hijo no puede acceder a becas del ejército porque su marido falleció y es injusto que le le digan “ cafiche del estado”""",hijo beca ejército marido injusto cafiche estado
"571	""es necesario un cambio político en el país.",necesario cambio político país
la elite no ha dejado en el fondo.,elite fondo
"las demandas sociales deben ser prioridad.""",demanda social prioridad
572	han tenido poca empatía con la gente. se han preocupado de legislar para ellos o sus intereses o los de sus partidos políticos.,gente
"573	consideran que el estado no está entregando viviendas dignas a la gente. que si no tienes plata, debes vivir en pocilgas.",estado vivienda digno gente
574	es un derecho del trabajador por los años de trabajo ejercido y debería ser más alta,derecho trabajador año trabajo alto
"575	""- mejor educación, que todos tengan las mismas oportunidades",mejor educación oportunidad
- mejor calidad de vida teniendo espacio para la familia.,mejor calidad vida espacio familia
-acceso a la vivienda digna,acceso vivienda digno
"576	- porque el acceso no es para todos, hay una gran desigualdad por lo costoso de la ed.",acceso gran desigualdad costoso ed
577	Puesto que la población está envejeciendo y las pensiones que reciben los sitúan bajo la línea de la pobreza.,puesto población pensión línea pobreza
"578	""-fortalecimiento de la salud pública",fortalecimiento salud público
-ampliar la cobertura,cobertura
-reducir las listas de espera,lista espera
-contratar más especialistas,especialista
"-evitar la colusión en la venta de medicamentos y acceso a precios justos.""",colusión venta medicamento acceso precio justo
"579	""- acceso a mejor salid fisica y mental.",acceso mejor salid fisico mental
- crear políticas de salud para adulto mayor.,política salud adulto mayor
- asignar mas recursos.,recurso
"- prohibir los alimentos que afectan a la salud""",alimento salud
"580	que sea la calidad, gratuidad mejorando la infraestructura de los colegios y mejorar las condiciones de trabajo de los docentes.",calidad gratuidad infraestructura colegio condición trabajo docente
no se garantiza que las personas humildes salgan de la pobreza.,persona humilde pobreza
"los alumnos de los liceos tecnicos, no pueden ejercer lo que estudiaron.""",alumno liceo tecnico
"582	""- que sea gratuita",gratuito
- que bajen los aranceles de las carreras,arancel carrera
"- no existen las mismas oportunidades""",oportunidad
"583	""-falta de especialistas",falta especialista
-diferencia entre lo público y privado no debería ecxistir.,diferencia público privado
"-listas de espera por tardansa en las horas""",lista espera tardansa hora
"584	""educación de calidad para todos y todas",educación calidad
"educación como un derecho y no un bien de consumo""",educación derecho consumo
"585	""- Faltan médicos especialistas que mejoren la salud de las personas",médico especialista salud persona
"- Falta mejor atención domiciliaria a los enfermos""",mejor atención domiciliario enfermo
"586	""por que alguien con derecho tiene mejor educación que alguien de clase media",derecho mejor educación clase medio
por que uno vive con el sueldo minimo y la pension es una miseria,sueldo mínimo pensión miseria
"por que cuesta mucho conseguir una hora y dan para mucho meses después.""",hora mes
"587	""recursos: mayor equidad en la entrega de recursos a los establecimientos de salud publicos",recurso mayor equidad entrega recurso establecimiento salud público
"personal: mas profesionales , profesionales de calidad, con buen trato a los usuarios. más oportunidades laborales.",personal profesional profesional calidad buen trato usuario
"infraestructura: mejoramiento y aumento de ellas""",infraestructura mejoramiento aumento
"588	la educación porque es la vía de acceso a un mejor pasar, mejor calidad de vida.",educación vía acceso mejor calidad vida
"589	mejorar el sistema de salud, que sea gratuito y de calidad, que no sigan filas para esperar, la consulta del medico en la posta, que tengan todos los medicamentos y que suba el sueldo a los profesionales de la salud.",sistema salud gratuito calidad fila consulta médico posta medicamento sueldo profesional salud
"590	hay preferencia para los que tienen como pagar en la salud, y el que no tiene debe esperar años para ser atendido",preferencia salud deber año
"591	""promover la alimentación saludable.",alimentación saludable
promover la vida familiar.,vida familiar
"recuperar el cobre, el litio.",cobre litio
generar espacios de recreación.,espacio recreación
"vivir dignamente y tranquilos.""",tranquilo
"592	""mejorar la salud publica.",salud
mejorar las tenciones.,tención
aumentar los recursos de salud,recurso salud
"salud digna y de calidad.""",salud digno calidad
"593	""que se eliminen las afp.",afp
que se desvuelvan el 100% de los ahorros.,ahorro
"disminuir los años a jubilar""",año
"594	""es necesario mejorar reforma educacional y sistema de tómbola",necesario reforma educacional sistema tómbola
se debe ampliar el área de conocimiento que se entreguen herramientas para desarrollarse en la vida real,área conocimiento herramienta vida real
ánimo de lucrar o negociar con educación,ánimo educación
"595	""Tiene que ver con reducir los tiempos de espera, mejorar infraestructura y accesibilidad a una salud de calidad",tiempo espera infraestructura accesibilidad salud calidad
debiera existir salud preventiva e integral,salud preventivo integral
"mayores especialistas y vocación, sobre todo en regiones.""",mayor especialista vocación región
"596	""el pais esta en desordde, sin poder de las ramas de ff.aa",país desordde poder rama ffaa
ordenar el pais a partir de la presidencia,país partir
"ordenar el sistema público en general.""",sistema público general
"es mediocre, hay mala atención.",mediocre malo atención
que un ciudadano no espera tanto tiempo por atención y que puedas acceder independiente si es fonasa o isapre.,ciudadano tiempo atención independiente fonaso
"mas especialistas, contratación.""",especialista contratación
- si no hay dinero no se pueden solucionar las cosas,dinero cosa
"- escasez de de becas """,escasez beca
"599	""mejorar la salud en cuanto atención cobertura y horarios",salud cuanto atención cobertura horario
notas medicas no oportunas,nota medico oportuno
los especialistas deberían tratar mejora los pacientes,especialista deber paciente
hay especialistas solo particulares,especialista particular
"600	""señalan la precariedad que existe en la salud pública.",precariedad salud público
"601	porque aqui nadie para esta cosa, sigue la destruccion en el pais, se les paso la mano.",cosa destrucción país mano
falta de recursos.,falta recurso
contratar mayor número de médicos y especialistas.,mayor número médico especialista
falta de recursos.,falta recurso
falta de recurso humano,falta recurso humano
que no exista colusión,colusión
"personas con vocación de servicio.""",persona vocación servicio
"604	""- igualdad para todos",igualdad
"- infraestructura.... para ello se requiere aumentar los recursos para mejorar aspectos como capacidad del profesorado, infraestructura""",infraestructura recurso aspecto capacidad profesorado infraestructura
"605	""- salud de calidad",salud calidad
- falta de insumos,falta insumo
"- necesidad de más infraestructura""",necesidad infraestructura
"606	se deben igualar los ingresos de las personas, el sueldo minimo y especialmente las pensiones, en el caso puntual de gen,chi igualar pensiones de personal civil con las planta gendarmeria",ingreso persona sueldo mínimo pensión caso puntual chi pensión personal civil planta gendarmerio
"607	""- acabar con las listas de espera",lista espera
- atención digna y de calidad,atención digno calidad
"608	""- mayor cantidad de profesionales e infraestructura.",mayor cantidad profesional infraestructura
- calidad de atención.,calidad atención
-terminar con a lista de espera,lista espera
mejor acceso en atencion medico,mejor acceso atención médico
salud de calidad y gratuita,salud calidad gratuito
"salud de calidad y pronta""",salud calidad
"610	""-Fue creada en periodo de dictadura.",periodo dictadura
"-Faltan leyes que nos beneficien (ley del cáncer, etc) aguas.""",ley ley cáncer agua
611	porque una persona que ha trabajado toda su vida no puede cubrir sus necesidades con una pensión mínima,persona vida necesidad pensión mínimo
612	es necesario presentar las políticas necesarias para volver a reencontrarnos y direccionar el camino a seguir en nuestro país.,necesario política necesario camino país
"613	""- mucho tiempo para una operación",tiempo operación
-no hay horas en el hospital,hora hospital
- malos tratos a los adultos mayores,malo trato adulto mayor
"- poca variedad de medicamentos a entregar (solo paracetamol)""",variedad medicamento paracetamol
"614	las personas pobres tengan acceso a una salud y atención en el momento oportuno, basta de esperas",persona pobre acceso salud atención momento oportuno espera
"615	""- la salud en chile es mala",malo
- mucha diferencia con el sistema pagado y publico,sistema pagado público
- falta de especialidades en los consultorios,falta especialidad consultorio
"- falta libertad de opción de elegir """,libertad opción
"616	""al que medidas se van a tomar para el país",medida país
"- para darle solución a los problemas del pueblo.""",solución problema pueblo
"617	""mayores atribuciones en actuar de carabineros",mayor atribución carabinero
falta de organización entre ffaa,falta organización
"mayor seguridad a las personas""",mayor seguridad persona
"618	""-por la desigualdad en los delitos segun connotacion social.",desigualdad delito segun connotación social
-mayor dotacion de carabineros.,mayor carabinero
-mayor instumentos de lo carabineros.,mayor instumento carabinero
"-no entrega de recursos a los sectores vulnerables segun connotacion social.""",recurso sector vulnerable segun connotación social
619	salario minimo digno que permita cubrir los gastos mensuales de la familia y proyectarse a futuro,salario mínimo digno gasto mensual familia futuro
"620	la mayoría somos adultos, viendo los antecesores que sacaron una pensión paupérrima, no es digno vivir así después de trabajar mucho, no es justo",mayoría adulto antecesor pensión digno justo
"622	""- Aumento de presupuesto para salud mental.",aumento presupuesto salud mental
- mejoramiento en la calidad de salud pública.,mejoramiento calidad salud público
"-Fiscalización de horarios de ingreso salida""",fiscalización horario ingreso salido
"623	""requerimos de un sistema de calidad y tener prioridad la prevención",sistema calidad prioridad prevención
- necesidad del aumento respecto de la capacidad de atención,necesidad aumento respecto capacidad atención
"- abastecimiento más expedito para todos los casos y áreas """,abastecimiento expedito caso área
"624	que baje el nivel de caos, para que tanto la ciudadania como las autoridades puedan tomar decisiones sin estar bajo presión. que pueda fluir las ideas con libertad.",nivel caos ciudadanía decisión presión
"625	los chilenos con el estado, en cuanto a la salud, el deficit de atención y el costo de los medicamentos, la afp, estamos en contra , las personas, solo se ha dado propuestas a nivel político",chileno estado cuanto salud deficit atención costo medicamento contra persona propuesta nivel político
626	mayor facultad de las policías  para mantener el orden y neutralizar a los delincuentes q' están destruyendo el país.,mayor policía orden delincuente país
"627	""mientras mas cobra altos son los aportes que se hacen",alto aporte
"garantizar mas a los funcionarios públicos en cuanto a derechos humanos y maltratos""",funcionario público cuanto derecho humano maltrato
"628	""Porque es la base del bienestar social",base bienestar social
"Deria ser gratuita universal equitativa, pertinente, eficiente",deria gratuito universal equitativo pertinente eficiente
"Salud mental mas recursos""",salud mental recurso
"629	es malisima, los tiempos de espera son muy largo ( horas) gran diferencia con sistema privado. personas de la tercera edad deben esperar mucho. larga espera para retirar su medicamentos. las horas medicas 2 meses de espera",malisimo tiempo espera largo hora gran diferencia sistema privado
"630	""cada día la educación es más cara",día educación cara
pocas profesionales de la educación básica y media están ejerciendo por vocación,profesional educación básico vocación
"educación gratuita para todos""",educación gratuito
"631	""- igualdad de oportunidades en el ambito de educación, salud y justicia.",igualdad oportunidad ambito educación salud justicia
"- mejora en los montos mínimos de la pensión básica solidaria""",mejora monto mínimo pensión básico solidario
"632	educación gratuita, para todos ya que hay gente que no cuenta con las lucas para poder estudiar o mas becas sin poner tanto pero",educación gratuito gente luca beca
hacer publicos todos los articulos que se van a modificar,público articulo
tener libre dispocision de los ahorros,libre dispocisión ahorro
"634	sin cobertura, mala atención, sin calidad y etica, sin insumos en la salud, mejorar atención de especialista, aumentar especialista, atención de calidad y falta de dotacion en el servicio publico.",cobertura malo atención calidad etica insumo salud atención especialista especialista atención calidad falta servicio público
"636	""dan prioridad a los extranjeros, no dan trabajo a los chilenos.",prioridad extranjero trabajo chileno
"por otra parte, se discute que los extranjeros no obtienen trabajos excepcionales""",parte extranjero trabajo excepcional
"637	""que la gente pueda solventar los gastos básicos",gente gasto básico
encarecimientos de la vida,encarecimiento
"no se puede acceder a descanso""",descanso
"638	""mejorar la calidad y turno de atencion de salud publica",calidad turno atención salud
con especialistas que puedan elegir las realizadas psicosociales en aysen,especialista realizado psicosocial
"faltan especialistas en aysen""",especialista
