	P2_1_B
1398	"mejorar el acceso al sistema
mayores recursos a los centros de salud
implementación de especialistas
mejorar atención"
1399	tiene notas tragicas, fue echa a la dictadura se asocia la constitución con un periodo doloroso del país, con una mayor participación social con el paso de las generaciones cambio genera esperanza y una mayor confianza
1400	el sistema actual no es el más eficiente y claramente deja en desmedro al beneficiario del mismo, pues es un tercero el que lucra con los ahorros de los trabajadores
1401	"sistema de la medición de la gestión no es el correcto, se pierde la importancia de las soluciones que se deben dar a las personas versus las apariciones.
cambiar como e usuario del estado ve a las autoridades.
la forma como ve el estado."
1402	"mejorar la calidad de la atención
mejorar infraestructura y recursos
invertir en tecnología
más especialización con permanencia
hospital para caldera"
1403	"- que todos accedas a educación universitaria gratuita, que garantice que al término de la carrera los profesionales ""devuelvan la mano"" con a lo menos un año de servicio público. educación de calidad."
1404	"- mal atención, falta de médicos
- falta de horas médicas
-falta de medicamentos
-falta de especialistas"
1405	"-mala atención 
- atención de espera por operaciones 
- falta de especialistas 
-medicamento caros ( no están en los consultorios) "
1406	"-falta de horas medicas
-falta de especialistas
-no realizan examenes por estar en paro.
-remedios caros"
1407	"-aumentar los recursos económicos (per capita)
-mejorar las listas de espera y tiempos de espera.
-aumentar recursos humanos en el área de la salud.
-reducir el valor de los medicamentos y que sean de buena calidad.
-garantizar derecho y calidad de la salud."
1408	"alza en el precio de las isapres en los planes de la mujer. malas atenciones en la salud pública (hospitales, consultorios, etc)
falta de presupuestos en la salud publica "
1409	"más especialistas
que los médicos se queden mas tiempo en los consultorios.
que exista urgencia en lebu.
no da abasto para la atención de la comunidad
.
"
1410	modificaciones de los sistemas para que otorgue un estándar adecuado de vida, que garantice la safisfacción de las necesidades básicas de la población, y nuestro trabajo apunta a contener y tratar de revertir las consecuencias de las falencias del actual sistema, vivenciadas por la población más vul
1411	"falta medicamentos hay que comprarlos y muy caro
mala atención para las personas que asisten al hospital
mucha demora en las horas medicas para especialistas"
1412	"grandes porciones de riqueza se concentran.
tenemos que pelear para conseguir pequeños avances, mientras que otros.
"
1413	falta de especialistas en ???? no es posible que un adulto mayor sea sacado a las 4:45 para llevarlo a concepción
1414	"mejorar las pensiones para que alcance a satisfacer las necesidades.

considerar pensiones ffaa en los reajustes"
1415	"los adultos mayores es mi mayor pena, como uno de ellos, me angustia saber que no puedo tratarme mis dolencias, hacerme exámenes, seguir un tratamiento, pues todo es muy caro.

debería ser una salud preventiva, uno no tiene derecho a chequeo completo al año por ejemplo."
1416	"horas en hospitales no existen, lo que si existe es mala atención. 
falta de especialistas médicos y la mayoría son practicantes, en vicuña cuando se va al hospital a urgencias, todos tenemos gastroenteritis. "
1417	porque afectar principalmente a adultos mayores, persona que han dado todo al país y que ya no tienen energías para seguir luchando.
1418	"- se deben eliminar las afp, además de subir las pensiones de manera equitativa para todos
- nadie puede vivir con $160.000
- se debe recalcular la edad de sobrevivencia de las personas para poder tener pensiones más ajustadas a la realidad"
1419	"es necesaria pues es la base para igualar herramientas para todos quienes quieran surgir. debe equipararse. es una burla lo de endeudarse para estudiar. 
el registro social sólo mide ingresos y no egresos, por lo que no se refleja el sobreendeudaminto.
si la educación mejora se puede mejorar el tr"
1420	"-terminar definitivamente con las listas de espera en los hospitales acortando sustancialmente los tiempos de derivación y atención 
- además se requiere un aumento sustantivo de los médicos especialistas"
1421	"- generar una nueva constitución con elección de dejar sin partidos políticos y sin que puedan ejercer cargos públicos en 5 años. 
- plebiscito de entrada y salida
- clase política fuera del proceso , para q sea un proceso totalmente ciudadano 
- autonomía de organización y administración de recu"
1422	-ocupar herramientas que se han generado ( en la evaluación , ausencia de calidad de la educación, programa para la convivencia escolar ) 
1423	"Con todo lo sucedido el gobierno, los políticos, han perdido credibilidad. Esto es algo que debe subsanarse a la brevedad.
""Debemos volver a confiar en nosotros""."
1424	hacia la clase media, la necesidad de respeto, recursos y mediocridad de los hospitales y de los cesfan y no hay soluciones
1425	"altas horas de espera sobretodo en urgencia
funcionarios que conversan y no atienden a los pacientes"
1426	Con el amor se consigue el respeto, paz, tranquilidad, que da paso a solución de problemas con conciencia.
1427	-que los dirigentes generen acuerdos que nos beneficien a todos, que no se arreglen entre ellos como siempre.
1428	los beneficios sociales ahora piden una situación muy precaria, de mucha pobreza y debiese ayudar a muchas mas personas, porque el costo de vida es muy alto y los ingresos no alcanzan para las necesidades 
1429	"Faltan medicamentos para el alcance de todos.
Por ser muy caros, sobre todo para la tercera edad.
Farmacias de cadenas muy caras

   "
1430	cambios en la reforma para dar seguridad a los adultos mayores y a la ciudadanía en general.
1431	"porque las pensiones son muy bajas.
nuestras pensiones muchas veces las gastamos en medicamentos.
no nos alcanza para gastos del hogar. "
1432	¿como puede evaluar personas que esperan hora para ser atendidas? ¿y otros mueren esperando operaciones pendientes en hospitales?
1433	a nivel país la salud es un tema transversal, es una necesidad que tiene que ser cubierta. 
1434	"- No hay una oferta laboral adecuada. 
- No hay igualdad en los sueldos.
- Son mal remunerados.
- No da tiempo para los hijos."
1435	"-ser valorada como mujer en mi lugar de trabajo
-al jubilarme tener una pensiones digna que de estabilidad "
1436	"hay demasiada segregación que genera resentimiento 
una educación que solo prepara piezas para un sistema injusto"
1437	"- atención en consultorios, mejor eficiencia del personal.
- mas horas médicas en posta rural.
- una ambulancía permanente en sector rural.
- un medico turno de 24 hrs en consultorio para urgencia."
1438	"-trato digno a los pacientes (mucho tiempo de espera, 
-falta de especialistas en hospitales de comunas,
- falta de hospitales en comunas
-faltas de horas medicas en comunas"
1439	accesibilidad universal unica y gratuita, que sea un derecho garantizado, acceso gratuito a examenes y medicamentos
1440	"se menciona como principal necesidad. 
educación asociada a la desigualdad en el acceso y a la calidad de la educación.
se plantea también la necesidad de mayor regulación y fiscalización de las contrataciones en el ámbito"
1441	"- pensión bajas
- no alcanza a costear los gastos mensuales
- la mayoría de los usuarios pensionados generan alguna actividad para generar más ingresos
"
1442	ante crecimiento demografico de personas chilena, migrantes, la pobreza, desempleo y enfermedades aumentan y no hay soluciones para generar viviendas dignas a los habitantes 
1443	"calculos 110 años
sin fines de lucro
claridad en las inversiones
mala informacion que dan las AFP"
1444	"que termine la psu, muestre la realidad
garantizar la educación.
que profesores no carguen los planes educacionales.
actualizar malla curricular de los profesores.
profesores con vocación.
"
1445	información mayor en los aspectos financieros que vive la gente a diario al momento de realizar operaciones financieras(bonos, retail, etc)
1446	Comentan que para lograr el equilibrio que necesitan, todos los actores sociales deben colaborar transparentemente por un chile justo equilibrado, con medidas concretas.
1447	"que no continuen las afp
que el sistema previsiones al menos se modifique a favor de las condiciones de los futuros pensionados"
1448	pensiones similares al ingreso mínimo mensual y equidad en la repartición de utilidades obtenidas por fondos de pensiones (afp y afiliados).
1449	"- en lo laboral todo es a base de pitutos.
todo esta de acuerdo al gobierno de turno y su gente. "
1450	"-cobertura para todos. no contestan telefono.
-buena atención. es muy mala, listas de espera.
-faltan procedimientos. demora en las horas.
-falta de empatía por el personal.
-abuso en el pago de la atención."
1451	"- listas de espera muy largas
- mala calidad de atención
- falta de medicamentos
- mayor dotación de médicos especialistas
- garantizar la buena atención de las personas"
1452	"porque hay mucha gente en el parlamento ganando mucha plata, no hacen su trabajo.
cambiar la constitución"
1453	"reforma total.
no esta actualizado.
que sea acorde a las necesidades acorde a los tiempos.
favorece a unos pocos."
1454	tener mejores autoridades que piensen en los demás, tener un trabajo en conjunto con la sociedad civil (partidos politicos)
1455	la salud en chile es muy mala, no hay médicos no hay insumos, las clínicas particulares son muy caras
1456	como grupo necesitamos sentirnos protegidos y no ha pasado el ultimo tiempo puesto que con el tema del estallido social la seguridad se ha perdido
1457	"pensiones dignas, ya que las personas de la tercera edad deben elegir entre comer o gastarse el dinero en remedios
son indignas, ya que muchas personas de la tercera edad terminan en situación de abandono o de calle"
1458	"aumentar impuestos a grandes empresas 
exigir a empresas un % de contrataciones de jóvenes sin experiencia "
1459	"las grandes empresas tienen todos los dominios de agua
el estado vendio los dominios de agua que debieron ser de todos los chilenos"
1460	se pide un aumento del 20% de este bono para los adultos mayores del país y a trabajadores/as activos/as que en un futuro serán pensionados
1461	se necesita mejorar la calidad de la educación, resguardando recurso humano, uso de tecnología, dignidad en el trato
1462	"Que haya mejor salud, mejorar, pensiones.
La soledad, falta de Salud
La falta de pensiones y
"
1463	que se aumente en un valor necesario para para cubrir todas las necesidades de los jubilados
1464	para sacar una consulta médica debe madrugar sin tener la seguridad de la atención de un doctor
1465	"tener mas oportunidades laborales. 
falta de becas a los estudiantes.
tener que mentir en la encuesta para recibir un beneficio
mejorar la calidad de la educación"
1466	buscar ser un apollo para la familia he ijos y no ser un gasto sino un aporte a la familia y a la sociedad.
1467	modificar el sistema, es injusto trabajar toda la vida para jubilar con una miseria, que se hagan negocios con esas platas o no te dejen sacar el dinero
1468	"mejoras la calidad de atención 
horas medicas tardan en llegar 
no se esta garantizando la salud
falta de empatía de funcionarios no tienen empatía, ética, no brindan rato digno
"
1469	por despues de tanto trabajar no les alcanza para tener una mejor calidad de vida, no alcanza dinero
1470	"- costos de los remedios
+ calidad de la atencion
+ camas
 - listas de espera"
1471	"mejorar sist, salud pública
mejores prestaciones en salud (medicamentos, exámenes, otros)
que existan prestaciones en salud mental"
1472	"la atención es pésima de todos los funcionarios.
la salud es un negocio y se lucra."
1473	"bajar precio medicamentos
mejor y mas rapida atencion
atencion gratuita
mejor infraestructura
mas profesionales de la salud"
1474	"- mejoramiento en la atención pública de calidad
- en la especialización en los centros de salud
- gratuita en general"
1475	tener la posibilidad de cambiar el sistema actual a otro mas representativo, mas justo. cambiar el modelo actual
1476	"el ingreso a  una fammilia no permite costear una educacion de calidad en ningun nivel.
los beneficios educacionales son siempre para los de extrema vulnerabilidad y no para la clase media baja"
1477	"crear una pensión contributiva mayor al ingreso mínimo mensual (imm) y una no contributiva igual al imm. aumentar cotización al 15% afiliado. 
crear un sistema previsional mixto con componentes de ahorro personal y solidaridad, mejorando las pensiones de la clase media.
eliminar regímenes especial"
1478	"mejorar la salud pública.
que el estado se haga cargo de regular. los precios de los medicamentos."
1479	"que se mejoren los contratos de trabajo y los sueldos.
fomentar a los pequeños empresarios a través de las pymes"
1480	"-. Se requiere administración nueva.
-. No ha dado respuestas a las demandas sociales
-. Vela por intereses personales."
1481	"reconcepción de la visión de trabajar y enfoca la humanidad
trabajo emocional
hacer un trabajo pensante de la educación 
retomar educación cívica "
1482	el modelo actual ha demostrado ser incapaz de garantizar el acceso universal a los ámbitos más sentidos de la demanda social: salud, educación, pensiones, vivienda, etc.
1483	"- permite mantenter estables salud, educación, etc.
- dar prioridad a la población chilena
- los turnos sean prioritarios para personas de calama"
1484	"acceso a la salud, reducción de listas de espera, valores de medicamentos, valores de atención en clínicas y hospitales.
- dignidad en el trato."
1485	"sistema de salud actual es deficiente.
reducción de listas de espera, disminución de costos, trato digno, acceso.
isapres deben dar trato igualitario a hombres y mujeres. "
1486	"por la desigualdad de educación entre lo publico y privado 
falta información vocacional 
educación primario con un buen sustento 
pocos recursos en las politicas sociales "
1487	"mejores sueldos a los profesores.
mejores condiciones laborales a los profesores
infraestructura en mejores condiciones 
mejor acceso a la educación superior"
1488	"- Mejorar acceso
- Acortar listas espera 
- + especialistas 
- + recursos humanos 
- + recursos para resolver los problemas "
1489	"más profesionales idoneos, mayor empatía con los pacientes. que la salud no se convierta en un negocio, el que no tiene dinero se muere. 
control de precios de medicamentos, mayor equipamiento en hospitales, atención preferente a adulto mayor "
1490	enfasis en la educación basica y media, ya que la base se debe reforzar. una educación superior gratis no conviene el fututo de los nuevos
1491	"-el tiempo en listas de espera es mucho
-el tiempo de espera en la atención medica y entrega de fármacos
-falta de especialidades medicas en hospital "
1492	"para la afp para volver al antiguo sistema inp
""para tener la misma aseguradora de carabineros, militares, etc"""
1493	- las pensiones son muy bajas, lo que no cubre el gasto de enseres de primera necesidad.
1494	"falta de leyes que castiguen al delincuente 
que eliminen la puerta giratoria que haya castigo de verdad y duro para los delincuentes"
1495	"mas horas medicas 
mejor atención 
bajar los precios de los medicamentos 
falta falta insumos en los hospitales y cesf"
1496	por construcción de represa destrucción a fauna daño permanente a los habitantes mejor control de agua y alto costo
1497	* a entregar a cada uno de los comuneros para cultivo forraje y su       masa ganadera (titulos de dominios)
1498	"- carencia en solicitud de hora
- falta de especialista
- falta de medico
- falta de transparencia en solicitud de hora para medico"
1499	desconfianza en torno a la mejora respeto a las pensiones el no entregarles responsabilidad a la afp y continuar aumentado el gasto publico 
1500	falta un país que enfocado en su matriz gastronómica, matriz limpia, medios de producción nacional y desarrollo de empresas locales.  
1501	"- personas adultos mayores vulnerables ,
pensiones bajas , algunos para doctores a largo plazo limite de spera en hospitales públicos, vulneran ? para acceso a la salud para todos"
1502	"paridad en el congreso
equidad de sueldo para hombres y mujeres.
ley de acoso y abuso
aumento pena femicidio"
1503	"*segregadora desde la básica separando a los colegios publicos y privados.
*calidad diferenciada en la educación
*diferencia es notoria
*el estado no garantiza la calidad solo entrega la libertad.
*trabaja la inclusión desde la etapa escolar."
1504	otros espacios para pdoer trabajar en la rehabilitación de adultos mayores afectados por condiciones de salud incapacitantes y que necesitan de rehabilitación
1505	otros espacios para trabajar en la rehabilitación de adultos mayores afectados por condiciones de salud incapacitantes y que necesitan rehabilitación
1506	el vandalismo desatado que amenaza a los ciudadanos honestos cortando el transito y quemando todo, atacando a carabineros con total impunidad.
1507	mejorar lo que esto requiere, no es negocio ni lucro, es educacion, cultura, es formar a una persona por un futuro mejor.
1508	cambio o eliminación tienen penciones mas dignas pata todo la gente que trabajen toda su vida
1509	-que haya una mayor dedicación al diagnostico de una enfermedad y a la toma de exámenes 
1510	"postulacion automatica al subsidio por parte de discapacitados.
aumento de cupos y reacondicionamiento de las viviendas"
1511	"- que sea mas rapida la atención medica
- que los medicamentos esten mas alcance de los mas pobres"
1512	todo esto es completamente urgente e importante para crecer como país y para que todos tengamos servicios y vida digna. nos rompemos el lomo trabajando para recibir migajas y eso no corresponde, es injusto y nefasto
1513	defendemos a nuestros adultos mayores y démosle dignidad a sus últimos días de vida, después contribuir  al desarrollo de nuestro país bajando la data de protección de vida que es demasiado larga y repartiendo las utilidades.
1514	"el agua mala calidad
hay que comprar agua mas encima cara el agua de la empresa que nos provee
la energia electrica creemos es un abuso, creemos que superintendencia de electricidad, combustible no se pone del lado de consumidor"
1515	-porque para los pobres es mas difícil que la atención sea rápida y buena, hay personas que mueren esperando 
1516	"-no han aumentado las pensiones.
les dicen que no tienen derecho.
un pensionado debería tener $350.000"
1517	"-no hay orden, hay muchos destrozos
- no s sentimos inseguros, los jovenes y la juventud es diferente a ala de antes.
-muchos robos, la droga, la delincuencia ha llegado a nuestro alrededor."
1518	se deben realizar cambios sustanciales a los problemas del pais, tanto en las pensiones, salud, educacion, etc.
1519	"- es un derecho el cual debe ser gratuito
- mucha dif. entre calidad de educación privada y pública"
1520	"- mayor rigurosidad en las leyes y su aplicación.
- limpiar el poder politico y de ffaa. sacando los malos elementos"
1521	"-ya nadie está seguro ni dentro de su casa por las ""balas locas""
-se quitó a carabineros respeto y atribuciones (pésimo)"
1522	"- mejorar atenciones dentro de los centros hospitalarios
- fortalecer y revisar el sistema público 
- reformar fonasa
- mecanismos para bajar el precio de los medicamentos "
1523	"para que nos alcance a comprar todo en el mes.
las cosas suben todos los dias."
1524	"- mejor distribución de medicamentos y precios accesibles
- mejora atención y más rápida respuesta
- gratuidad de salud a personas más vulnerables"
1525	"las afp son una estafa.
nos obligan a entregar nuestro dinero para negocios que solo son para ellos.
se roban el dinero de las ganancias."
1526	"- tener mayo recursos para aquellos que tienen enfermedades y no tienen como vivir el día a día
- que los exámenes y los medicamentos sean de fácil acceso 
- que no haya tanta lista de espera
- tener más especialistas"
1527	Que exista un aumento en su pensión y sean más dignas para la tercera edad la actual no alcanza ni para los medicamentos.
1528	una salud que nos trate con dignidad el no tener que pasar horas esperando una atención y que los resintos hospitalarios cuenten con el personal y los equipos e insumos adecuados suficientes.
1529	debido a que te tienes que reprimir ante la sociedad por el entorno laboral en el que te encuentras.
1530	"-no nos alcanza a los adultos mayores la pensión para sus remedios, arriendo y gastos públicos
-asegurar el acceso a salud de calidad"
1531	el desborde y descontento general de la juventud y la educación, principalmente la igualdad de condicion de ingreso psu.
1532	"no había atención 
se pierde la hora
las altas espera. me postergaron las horas de atte."
1533	"el país necesita todo agua principalmente  
la seguridad a nivel comunal se encuentra bien pero a nivel país esta muy mal"
1534	horas se demoran mucho, muy mala salud. mala atención si no hay plata no te atienden
1535	las leyes no se cumplen actualmente. lo que impide restablecer el orden en la comunidad y el país
1536	"falta de especialistas médicos, al vivir en una isla se dificulta recibir esas atenciones
- mejorar programas de salud"
1537	la falta de profesionales y de compromiso de especialistas y prioridad en atenciones ya que hay que esperar meses y hasta año
1538	la salud estatal esta mala debido a las largas esperas , pocos cupos para las atenciones de medicos en especial especialistas, ya que muchos veces los medico solo los examenes y no lo hacen cuando correspoden
1539	"Atrasos en los llamados, esperas muy largas. 
Mala planificación de funcionarios de la salud.
Una buena administración."
1540	se hace mención que hoy en día se ha perdido el respeto hacia las personas y autoridad (carabineros, alcaldes.....)
1541	"no esta de acuerdo con las necesidades del país.
falta mayor fiscalización.
falta de recursos adecuado distribución en la parte de salud.
es importante que aps, salga de las municipalidades."
1542	"porque somos un país que envejece un país 
- porque mejora la aumenta el desarrollo social 
- porque es un sistema basico que necesita más cobertura, que sea gratuito para que sea realmente digno "
1543	se concuerda que se debe fortalecer la ed. publica. con acciones concretas mejora en todos los ambitos
1544	"- mayor inclusión
- no están deacuerdo con el proceso de admisión ya que se grega a la familia."
1545	"no debiera implicar deuda para unas personas/familia.
mayor cantidad de universidades publicas  que privadas. apuntar a la calidad. 
priorizar educación con mas niveles escolares: básica, media y supeiorior.
la educación publica no asegura calidad/ el libre mercado predomina.
arancel diferenciad"
1546	Mejorar el concepto de estado en las diversas políticas donde el estado vele por el cumplimiento de todo y se cumplan las cosas. Que deje de existir esa sensación que las empresas se enriquecen sin regulación.
1547	"asi no va a ver tanta corrupcion como los de ahora.
necesitamos nuestro propios espacio como familia."
1548	hay que tomar medidas respecto al cuidado medioambiental, ya que al destruirlo, nos estamos destruyendo a nosotros mismos
1549	"las personas de la tercera edad puedan cubrir sus necesidades de salud, alimentación
dar beneficios como transporte público (gratuidad)"
1550	"demasiado relevante, hay una anarquía en este país, chile va de mal en peor, este país está demasiado peligroso y los delincuentes tienen chipe libre. 
es necesario endurecer las penas, pero hay que hacer valer la ley, hay que hacer que un día sea solo un problema leve."
1551	"mejorar la calidad de salud en prestaciones de servicios e infrestructura
implementar acceso a las especialidades
pocos especialistas en atención publica y privada
evitar que las personas mueran esperando atención medica"
1552	demora en las atenciones, falta de especialistas, falta de etica y profesionalismo, falta de empatía con los uduarios . no hay seguridad y confianza en la salud publica 
1553	falta acceso a la salud, deben viajar a melipilla por una especialidad, solo tienen acceso a salud primaria, a melipilla nos vamos a morir.
1554	"- existe mala atención, sobretodo en el servicio público. se cree que esto tiene relación con los bajos sueldos de los profesionales que trabajan en el área. 
- los precios de los medicamentos y exámenes son muy elevados. 
- escasa información hacia los usuarios respecto a cómo funciona el sistema"
1555	los abuelos/as no tienen dignidad hoy en día, deben trabajar para poder costear la totalidad de sus necesidades.
1556	"-la salud estatal carece de buen trato, largas colas.
-pensiones + justas sobretodo para el adulto mayor "
1557	"tener un techo acceso a alimentación
-los recurso están mal distribuidos
-se nota en la comuna la diferencia "
1558	ya que actualmente las listas de espera son demasiado largas en el sector publico, investigaciones para detectar enfermedades, regular precio de medicamentos 
1559	"- en razón de las ganancias que fueron para el cotizante
- que las ganancias se inviertan en contribuir en el país
- mejorar la pensión para pobres "
1560	en chile existe un grado de pobreza lo cuál lleva a unir en asinamiento y condiciones no aptas
1561	en chile existe un grado de pobreza lo cual lleva a crisis en asinamiento y condiciones no aptas
1562	"en relación a la salud primaria, mencionan que es ""inservible"" ir al consultorio o cesfam, porque no hacen diagnóstico y es una atención muy precaria y poco digna, en especial para los adultos mayores."
1563	existe la necesidad de crear mas  construir, hospitales, tener una salud digna. inyección de recursos, mejorar los sueldos de los trabajadores.
1564	se requiere un sistema de salud oportuno e igualitaria con garantía del estado sobre su calidad
1565	"mas opciones a trabajo

seguridad salarial entre hombres y mujeres

menos requisitps para postular a trabajos"
1566	"- reducir tiempo de espera para atención y horas medicas.
- capacitación personal para una mejor atención"
1567	"-mas opciones a trabajo.
-igualdad salarial entre hombres y mujeres
-menos requisitos para postular a trabajos.
-"
1568	se refiere a que la salud pública no puede seguir esperando, los paciente ya no tienen paciencia no hay insumos ni médicos suficiente
1569	"largos tiempos de espera en la atención 
mala calidad de la atención, asociada principalmente a malos tratos desde el personal 
frecuentes errores en diagnósticos de salud "
1570	"debido a:
atenciones de espera muy extensas
medicos la mayoría se han privatizado a clinicas, existiendo asi pocos medicos en la salud pública.
los medicamentos de muy elevado valor."
1571	"-muy bajas y no se arreglan a todos. la tasa de mortalidad es muy alta.
-no se puede vivir con ese dinero, todo caro, $ no alcanza."
1572	las familias requieres sus viviendas para que sus ingresos no se vean afectados por altos valores de los arriendos
1573	"ver las prioridad de las personas, se tome en cuenta la decisión personal
cambiar el sistema"
1574	- deben existir medios de transporte aptos para personas mayores, que los recorridos aumenten y que exista un pago especial para adultos mayores, porque con la pensión no nos alcanza.
1575	"la atención es muy deficiente ya que es mucha la espera para poder obtener un hora.
- falta de implementación"
1576	no es posible seguir viviendo entre barrotes en casa y latones en los malls menos en ir a los parques 
1577	"-Deficiencia; atencional inoportuna; no acceder a especialistas y clínicas
No acceso a oportuno  tratamientos de cáncer o patologías"
1578	sin importar la posición social todos tenemos el derecho de salud (igual trato privado y público) c/la misma calidad
1579	"¿ quien le ayuda al adulto mayor a cuidar de otros adultos mayores?
falta ayuda a personas que cuidan de otros
que será de los que necesitan ayuda, cuando uno no esté
no hay tratamiento psicológico, controles médicos, etc. (cuidadores)"
1580	la salud en le país no esta bien ya que el sistema público está colapsado y no hay nuevos medicos
1581	"transporte para ir haber a sus familias hospitalizadas fuera de su comuna
mejorar la atención
más especialistas
mayor cobertura y atención
más insumos"
1582	"-mala atención
-tiempo de atención excesivo
-falta de medicamentos e insumos
-falta de especialistas
-demoras en interconsultas"
1583	"- acceso y cobertura universal sin discriminación alguna de acuerdo a las necesidades así como medicamentos e insumos.
-no hay especialistas deben viajar a copiapo.
-mejorar la atención."
1584	"- tiempo de espera para poder ser atendido.
- precio para tener atención digna
- falta de insumos médico."
1585	"- no ser escuchados
- muchas esperas
- faltan especialistas
- mas equipamiento
- mas recursos"
1586	porque hay mucha seleccion para la educacion, y no es gratis,  muchas veces no es de calidad, la educacion es un derecho con los impuestos. la gente de clase media no puede llegar a finde  mes y en lo que ocupan los impuestos nos beneficia un minimo
1587	"por los pocos recursos de la salud publica las urgencias la burocracia
discriminación a los usuarios 
poca credibilidad en lo publico "
1588	por que el amor de cristo hecha fuera el temor, puedo curar heridas y restaurar vida de muchas personas.
1589	"no tienen especialistas en turnos completos
- faltan insumos para que tengan una buena atención - hay mucha desigualdad"
1590	salud en cuanto a estar en una zona extrema que sea de más calidad (falta de profesionales) y gratuita para todos ( salud mental de calidad)
1591	"falta de centros de atención con especialista
centros residenciales con costo del estado.
centros de rehabilitación drogas y alcohol "
1592	"* Lista de espera. mejorar. eliminar
* Más interconsulta
* Mejora los examenes
* Mas camas para hospitalización"
1593	mala atencion, listas de esperas, costo de los medicamentos, no contar con los insumos para tratamientos y la maquinaria necesaria como para nosotros que somos enfermos respiratorios.
1594	"-hay diferencias de los policías e inflacion
-Falta apoyo libre media
-? cambios y estafa de cuello y corbata"
1595	mala atención, listas de esperas, costos de los medicamentos, no contar con los insumos para tratamientos y maquinaria necesaria como para nosotros que somos enfermos respiratorios.
1596	"- genera igualdad de oportunidades para los chilenos
- modificar las leyes existentes para beneficiar a los chilenos y quitar beneficios a privados"
1597	mala atención, listas de espera, costo de los medicamentos, no contar con los insumos para tratamientos y la maquinaria necesaria como para nosotros que somos enfermos respiratorios.
1598	"termino de las listas de espera
escasez de medicamentos
falta de medicos especialistas
mejorar la atencion
centro oncologico para atacama
mas horas medicas"
1599	"-hace mucho tiempo se necesitaba y se ha tardado mucho.
-estipular los tiempos de duración para una constitución. "
1600	"garantizar una atención oportuna y de calidad para todos.
modificar y mejorar el sistema de isapre y fonasa
salud como un derecho no un negocio"
1601	la gestión de los uso de agua para riego y consumo humano debe mejorar y atender a todo el país
1602	"el sistema de salud es malo
las listas de espera
especialistas pocos
isapres roban
caros los sistemas privados"
1603	mejorar la calidad por derecho de casa persona. buena atención pública. eliminar colusión de las farmacias
1604	cesfam están colapsados , faltan profesionales y existe una mala administración en casi todo los dispositivos de salud de todo chile
1605	muchos adultos mayores en pobreza y sin red de apoyo, no se cuenta con una institución que se haga cargo de estas personas mayores.
1606	si esto sucediera habría más respuesta a las necesidades pues habría una sociedad menos egoista y preocupada por todos
1607	porque en las ciudades grandes las personas que tienen que ir a trabajar no tienen locomoción , les pueden llegar piedrazo, etc.
1608	si dios reinara y fuera el dirigente e la vida de las personas (no de nombre sino genuinamiente) no existiría egoísmo e injusticias. se buscaría el bien común y se dejaría el clasismo
1609	-el estado debe preocuparse mas por la salud y el tipo de atención hace nuestros adultos mayores.
1610	"calidad en toda la educación, basico, media, universitaria
mejores condiciones laborales para los profesores, para que no se pierdan la vocación de enseñar"
1611	la educación pública tiene mala calidad y el precio de las universidades no va con la realidad del país
1612	la salud en chile es muy cara, junto a los remedios. además los hospitales públicos tienen pocos profesionales 
1613	- hay demasiada brecha de pensiones entre algunos usuarios. que las ganancias de las afp sean igualitarias
1614	"- falta de fiscalización para entregar una atención de calidad
- falta de infraestructura para poder realizar atenciones medicas dignas
- faltan especialistas"
1615	"- desigualdad en la educaci´n, sobre todo entre los establecimientos pagados y los municipales
- eliminación psu"
1616	el derretimiento de glaciares ha sido un tema que en los últimos años ha empezado a tomar protagonismo, preocupa a todas las personas que se abastecen del agua generada por estos gigantes milenarios. no es un dato menor, siendo que una parte importante de la población en chile se beneficia del hielo
1617	los adultos mayores terminan viviendo la última etapa de su vida con una pésima jubilación que no le alcanza para sus gastos mínimos.
1618	necesitamos que los jovenes del pais tengan una educacion publica de calidad ya que es la principal herramienta para tener un mejor futuro.
1619	debido a la falta de autoridad y determinación para llevar al país por el camino correcto. 
1620	la brecha salarial en el pais es muy desigual falta más equidad y que los políticos dejen de ser muy ganadores.
1621	 l salud hay que pagarla por que en lo publico te mueres esperando examenes o atención
1622	claridad sobre el futuro q' nos prepara el dia de mañana por las acciones q' ira a largo plazo (constitucion)
1623	"equipo preocupado de las necesidades reales de la comuna
mejor control de caos ej.: los colegios"
1624	"- construir comunidad
- la comunidad no esta incorporada en nuestro estilo de vida
- no son cohesionado"
1625	"Salud prioritaria para adultos mayores.
Salud mental (Ley de salud mental).
Prioridad para enfermedades catastróficas.
Responder requerimientos regionales."
1626	"terminar listas de espera
mejorar atencion al adulto mayor.
buena atencion, mas acogedora.
sectores rurales demasiado aislado."
1627	"- mejorar el sistema de pensiones
- que las ganancias por usar los ahorros lleguen a las personas"
1628	- los requerimientos personales y económicos obligan a dedicar más  tiempo al trabajo que a la realización personal.
1629	"-cambiar urgentemente el sistema de afp por un sistema de previsión estatal, como el que existía antes.
-jubilación voluntaria con 30 años de servicio y no por edad."
1630	la población está envejeciendo y no hay salud digna. no hay apoyo a los niños. poca fiscalización.
1631	"-No hay acceso pleno por los recursos.
-Acceso gratuito
-Mejorar la atención y la salud que tenemos
-Evitar que la atención sea tan burocrática"
